,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_learning_rate,param_loss,param_penalty,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
40,0.6684053897857666,0.038693577870644,0.002032947540283203,5.461053409520074e-05,0.0005,optimal,huber,l1,"{'alpha': 0.0005, 'learning_rate': 'optimal', 'loss': 'huber', 'penalty': 'l1'}",0.61,0.64,0.66,0.71,0.69,0.662,0.03544009029333869,2
41,1.248133945465088,0.116616261293322,0.0021195411682128906,0.00015754745889739175,0.0005,optimal,huber,elasticnet,"{'alpha': 0.0005, 'learning_rate': 'optimal', 'loss': 'huber', 'penalty': 'elasticnet'}",0.48,0.56,0.52,0.57,0.38,0.502,0.06881860213634101,4
42,1.3092484951019288,0.11175479753260635,0.001979160308837891,7.518217544666394e-05,0.0005,optimal,epsilon_insensitive,l2,"{'alpha': 0.0005, 'learning_rate': 'optimal', 'loss': 'epsilon_insensitive', 'penalty': 'l2'}",0.1,0.11,0.12,0.08,0.06,0.094,0.021540659228538015,21
43,3.2017813205718992,0.3644463185704678,0.0019575119018554687,0.00028920905205388753,0.0005,optimal,epsilon_insensitive,l1,"{'alpha': 0.0005, 'learning_rate': 'optimal', 'loss': 'epsilon_insensitive', 'penalty': 'l1'}",0.3,0.33,0.31,0.26,0.38,0.316,0.039293765408777,8
44,3.068170595169067,0.3002200492135228,0.0019082069396972657,0.000512626039594886,0.0005,optimal,epsilon_insensitive,elasticnet,"{'alpha': 0.0005, 'learning_rate': 'optimal', 'loss': 'epsilon_insensitive', 'penalty': 'elasticnet'}",0.17,0.16,0.13,0.03,0.21,0.13999999999999999,0.06066300355241241,12
45,0.0017257213592529296,6.0371689558926494e-05,0.0,0.0,0.0005,invscaling,squared_error,l2,"{'alpha': 0.0005, 'learning_rate': 'invscaling', 'loss': 'squared_error', 'penalty': 'l2'}",,,,,,,,28
46,0.0015723228454589844,0.00010482160613313781,0.0,0.0,0.0005,invscaling,squared_error,l1,"{'alpha': 0.0005, 'learning_rate': 'invscaling', 'loss': 'squared_error', 'penalty': 'l1'}",,,,,,,,28
47,0.0014946937561035156,5.121759390974092e-05,0.0,0.0,0.0005,invscaling,squared_error,elasticnet,"{'alpha': 0.0005, 'learning_rate': 'invscaling', 'loss': 'squared_error', 'penalty': 'elasticnet'}",,,,,,,,28
48,0.0019360065460205078,0.0007028723893828301,0.0,0.0,0.0005,invscaling,huber,l2,"{'alpha': 0.0005, 'learning_rate': 'invscaling', 'loss': 'huber', 'penalty': 'l2'}",,,,,,,,28
49,0.0016389846801757812,0.00014743212728709994,0.0,0.0,0.0005,invscaling,huber,l1,"{'alpha': 0.0005, 'learning_rate': 'invscaling', 'loss': 'huber', 'penalty': 'l1'}",,,,,,,,28
50,0.001564359664916992,0.00019758929350434528,0.0,0.0,0.0005,invscaling,huber,elasticnet,"{'alpha': 0.0005, 'learning_rate': 'invscaling', 'loss': 'huber', 'penalty': 'elasticnet'}",,,,,,,,28
51,0.0018733024597167968,0.0007424398868014481,0.0,0.0,0.0005,invscaling,epsilon_insensitive,l2,"{'alpha': 0.0005, 'learning_rate': 'invscaling', 'loss': 'epsilon_insensitive', 'penalty': 'l2'}",,,,,,,,28
52,0.001461362838745117,0.0001108449590299282,0.0,0.0,0.0005,invscaling,epsilon_insensitive,l1,"{'alpha': 0.0005, 'learning_rate': 'invscaling', 'loss': 'epsilon_insensitive', 'penalty': 'l1'}",,,,,,,,28
53,0.0015093326568603516,0.00011256777114315074,0.0,0.0,0.0005,invscaling,epsilon_insensitive,elasticnet,"{'alpha': 0.0005, 'learning_rate': 'invscaling', 'loss': 'epsilon_insensitive', 'penalty': 'elasticnet'}",,,,,,,,28
54,0.0014742374420166015,9.900678210012306e-05,0.0,0.0,0.0001,constant,squared_error,l2,"{'alpha': 0.0001, 'learning_rate': 'constant', 'loss': 'squared_error', 'penalty': 'l2'}",,,,,,,,28
55,0.0014822959899902343,7.777028400256503e-05,0.0,0.0,0.0001,constant,squared_error,l1,"{'alpha': 0.0001, 'learning_rate': 'constant', 'loss': 'squared_error', 'penalty': 'l1'}",,,,,,,,28
56,0.0015453338623046876,0.00011173166647209369,0.0,0.0,0.0001,constant,squared_error,elasticnet,"{'alpha': 0.0001, 'learning_rate': 'constant', 'loss': 'squared_error', 'penalty': 'elasticnet'}",,,,,,,,28
57,0.0014336585998535156,4.2307415489529555e-05,0.0,0.0,0.0001,constant,huber,l2,"{'alpha': 0.0001, 'learning_rate': 'constant', 'loss': 'huber', 'penalty': 'l2'}",,,,,,,,28
58,0.0015120506286621094,0.0001618483236404246,0.0,0.0,0.0001,constant,huber,l1,"{'alpha': 0.0001, 'learning_rate': 'constant', 'loss': 'huber', 'penalty': 'l1'}",,,,,,,,28
59,0.0016321182250976563,0.00010476315296275592,0.0,0.0,0.0001,constant,huber,elasticnet,"{'alpha': 0.0001, 'learning_rate': 'constant', 'loss': 'huber', 'penalty': 'elasticnet'}",,,,,,,,28
60,0.0015380382537841797,0.00014450463342083753,0.0,0.0,0.0001,constant,epsilon_insensitive,l2,"{'alpha': 0.0001, 'learning_rate': 'constant', 'loss': 'epsilon_insensitive', 'penalty': 'l2'}",,,,,,,,28
61,0.0014734745025634765,9.397677723323723e-05,0.0,0.0,0.0001,constant,epsilon_insensitive,l1,"{'alpha': 0.0001, 'learning_rate': 'constant', 'loss': 'epsilon_insensitive', 'penalty': 'l1'}",,,,,,,,28
62,0.0015738487243652343,0.00022102327646349946,0.0,0.0,0.0001,constant,epsilon_insensitive,elasticnet,"{'alpha': 0.0001, 'learning_rate': 'constant', 'loss': 'epsilon_insensitive', 'penalty': 'elasticnet'}",,,,,,,,28
